PTM#,Final determination,genetic match/notes,Determination in the field,Vial in Martone Lab?,Extracted?,Date of Extraction,PCR date (psbA),psbA sequence?,PCR date (CO1),CO1 sequence?,PCR date (rbcL),RbcL sequence?,SSU sequence?,Red/Coralline/Green/Brown,Locality,Date Collected,Notes,Accession #,Missing accession,Habitat,Fragments available?,Latitude,Longitude,Main Collector,Other collectors,Determiners
"1,002",Bossiella reptans,needs reverse,Unknown crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",15-Jun-2014,possibly B. frondifera?; near sand,A91981,NA,low pool,NA,NA,NA,NA,NA,NA
"1,003",Bossiella sp.2 chiloensis,needs reverse,Bossiella sp. 2 chiloensis,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",15-Jun-2014,infested with worms; needs DNA sample,A91982,NA,mid pool on rock,y,NA,NA,NA,NA,NA
"1,004",NA,messy psbaF seq,Lithothamnion phymatodeum,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",15-Jun-2014,in sand with kelp,A91983,NA,low,y,NA,NA,NA,NA,NA
"1,005",Lithothamnion phymatodeum,needs reverse,Unknown coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",15-Jun-2014,with Ptilota; no white margin,A91984,NA,low,y,NA,NA,NA,NA,NA
"1,006",Clathromorphum sp.,needs reverse,Unknown coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",15-Jun-2014,on Ahnfeltia; near sand,A91985,NA,Pseudeilithophyllum muricatum,NA,NA,NA,NA,NA,NA
"1,007",NA,PCR failed,Melobesia mediocris,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",15-Jun-2014,on Phyllospadix,A91986,NA,low,y,NA,NA,NA,NA,NA
"1,008",Pseudolithophyllum sp. 1whidbeyense,needs rev,Pseudolithophyllum whidbeyense,NA,X (CJ),NA,NA,X (CJ),NA,NA,NA,X (CJ),NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,surge channel; under Saccharina; comes off easily (chunks),A91399,NA,"mid, in channel",y,NA,NA,NA,NA,NA
"1,009",Spongites tumidum,"far out, needs reverse",Leptophytum sp.,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,chalky; dark purple/grey; reproductive; under Saccharina; on green sponge,A91987,NA,mid in channel,y,NA,NA,NA,NA,NA
"1,010",Lithophyllum sp.2,needs reverse,Unknown coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,chalky; pink; under Saccharina,A91988,NA,mid in channel,NA,NA,NA,NA,NA,NA
"1,011",Pseudolithophyllum sp. 1whidbeyense,needs rev,Pseudolithophyllum whidbeyense,NA,X (CJ),NA,NA,X (CJ),NA,X (CJ),NA,X (CJ),NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,thick; white margins; swirly; under Saccharina,A91400,NA,mid in channel,y,NA,NA,NA,NA,NA
"1,012",Lithothamnion glaciale,needs rev,Lithothamnion phymatodeum,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,hard; bumpy; does not come off easily,A91989,NA,mid in channel,NA,NA,NA,NA,NA,NA
"1,013",NA,PCR failed,Unknown coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,smooth; white margins,A91990,NA,"low, surge tidepool",NA,NA,NA,NA,NA,NA
"1,014",NA,PCR failed,Unknown coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,dark pink; lumpy; in bag in silica; needs DNA subsample,A91991,NA,"low surge tidepool, on giant barnacle",NA,NA,NA,NA,NA,NA
"1,015",Corallinac sp. 7BCcrust_Lithothamnion,"match to 744 - match to Corallinac sp. 7BC crust (e.g. GWS020943, GWS019416)",Lithophyllum sp.,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,smooth; pink; thick; difficult to get off rock,A91992,NA,"low, surge tidepool",y,NA,NA,NA,NA,NA
"1,016",NA,psbA failed,Unknown coralline crust,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,on giant barnacle; voucher in bag,A91993,NA,low surge tidepool,y,NA,NA,NA,NA,NA
"1,017",Lithophyllum impressum,NA,Lithophyllum impressum,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,this sequence matches to JQ917416 on GenBank submitted by Paul - match to 1020; smooth; thin; hard to get; crumbles,A91994,NA,upper mid tidepool,y,NA,NA,NA,NA,NA
"1,018",Lithophyllum impressum,NA,Unknown coralline crust,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,this sequence matches to JQ917416 on GenBank submitted by Paul; very thin; purple,A91995,NA,high tidepool,NA,NA,NA,NA,NA,NA
"1,019",Corillinac sp.4 BCcrust_Lithophyllum,"
",Lithophyllum sp.,NA,X (CJ),NA,8ix14 (CJ),NA,NA,yes,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,There is an insertion of 6 bp in the 1019 specimen in CO1 compared to the GWS specimens for this species.  Otherwise the sequence is identical.; voucher in bag,A91996,NA,high tidepool,y,NA,NA,NA,NA,NA
"1,020",Lithophyllum impressum,no match to GWS CO1 database,Lithiphyllum sp.,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,this sequence matches to JQ917416 on GenBank submitted by Paul; The closest sp. match in GWS database is Corallinac sp.12BC crust - but substantially different.  This sequence also had the 6 bp insertion like 1019.; comes off easily; voucher in bag; samples for DNA,A91998,NA,high tidepool,y,NA,NA,NA,NA,NA
"1,021",Bossiella sp. 5chiloensis,NA,Bossiella sp. 5 chiloensis,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-2014,"under Alma, Saccharina; with Codium setchellii; robust",A91999,NA,"mid, on rocky shelf",y,NA,NA,NA,NA,NA
"1,022",Chiharaea silvae,NA,Bossiella sp.,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Fifth Beach",16-Jun-2014,young uprights with base fragmentary and tiny,A92000,NA,mid,y,NA,NA,NA,NA,NA
"1,023",Chiharaea silvae,NA,Chiharaea silvae,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-2014,under Saccharina sessilis,A92001,NA,mid,y,NA,NA,NA,NA,NA
"1,024",Bossiella sp. 2chiloensis,NA,Bossiella pseudodichotoma,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-2014,"under Phyllospadix
",A92002,NA,high tidepool,y,NA,NA,NA,NA,NA
"1,025",Bossiella reptans,far out - try rbcl and CO1,Bossiella sp.,NA,X (CJ),NA,8ix14 (CJ),messy psbA,NA,NA,NA,NA,NA,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-2014,w/ Calliarthron,A90731,NA,upper mid pool,y,NA,NA,NA,NA,NA
"1,026",NA,psbA failed,Bossiella sp. 2 chiloensis,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-2014,NA,A92003,NA,upper mid pool,NA,NA,NA,NA,NA,NA
"1,027",Bossiella sp. 2chiloensis,NA,Bossiella sp. 2 chiloensis,NA,X (CJ),NA,8ix14 (CJ),NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-2014,under Phyllo.,A92004,NA,high tidepool,y,NA,NA,NA,NA,NA
"1,028",NA,PCR failed,Bossiella sp.,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-2014,NA,A92005,NA,high tidepool,y,NA,NA,NA,NA,NA
"1,029",NA,PCR failed,Bossiella sp. 5 chiloensis,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-2014,under Alaria and S. sessilis; w/ C. setchellii,A92006,NA,"mid, bench",y,NA,NA,NA,NA,NA
"1,030",NA,"messy F seq, need f ,R",Bossiella Orbigniana,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Between 5th and 6th beach",16-Jun-2014,NA,A92007,NA,"low, boulder, near soft sediment",NA,NA,NA,NA,NA,NA
"1,031",Bossiella sp.,needs rev,Bossiella pseudodichotoma,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Little Wolf Beach, rocky outcropping",15-Jun-2014,at base of large rock,A92008,NA,mid tidepool,y,NA,NA,NA,NA,NA
"1,032",Crusticorallina adhaerens,confirmed by RBCL,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 1-sample 1,A92009,NA,"subtidal, 12.5m",NA,NA,NA,NA,NA,NA
"1,033",Crusticorallina adhaerens,"messy psba F,R, messy CO1, rbcl failed, final determination C. adhaerens because this sample was split into two with PTM1034, determination not based on sequence data.",Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 1-sample 2a; on barnacle; voucher in bag,A92010,NA,"subtidal, 12.5m",NA,NA,NA,NA,NA,NA
"1,034",Crusticorallina adhaerens,confirmed by CO1,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 1-sample 2b; on cap corral; voucher in bag,A92011,NA,"subtidal, 12.5m",NA,NA,NA,NA,NA,NA
"1,035",Crusticorallina adhaerens,"confirmed by RBCL, psba",Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 1-sample 3; on rock,A92012,NA,"subtidal, 12.5m",NA,NA,NA,NA,NA,NA
"1,036",Crusticorallina adhaerens,confirmed by CO1,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 2-sample 1a; on rock,A92013,NA,"subtidal, 13.5m",y,NA,NA,NA,NA,NA
"1,037",Crusticorallina adhaerens,"messy psba F,R, c01, rbcl failed, final determination C. adhaerens because this sample was split into two with PTM1036, determination not based on sequence data.",Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 2-sample 1b; on barnacle; no voucher,no voucher,NA,"subtidal, 13.5m",NA,NA,NA,NA,NA,NA
"1,038",Pseudolithophyllum sp. 2whidbeyense,needs reverse,Coralline crust,NA,X (CJ),NA,X (CJ),NA,8v15,NA,X (CJ),NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 2-sample 2; on cap corral; voucher in bag,A91401,NA,"subtidal, 13.5m",NA,NA,NA,NA,NA,NA
"1,039",Corsp27Bccrust_Lithophyllum,NA,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 2-sample 3; on rock,A92014,NA,"subtidal, 13.5m",NA,NA,NA,NA,NA,NA
"1,040",Mesophyllum sp.2,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 2-sample 4; single shell; voucher in bag,A92015,NA,"subtidal, 13.5m",y,NA,NA,NA,NA,NA
"1,041",NA,99.92% match porphyra mumfordii (contaminant) BOLD using rbcl,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 2-sample 5; on barnacle; voucher in bag,A92016,NA,"subtidal, 13.5m",NA,NA,NA,NA,NA,NA
"1,042",Corsp13BCcrust mesophyllum,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 3-sample 1; single shell; voucher in bag,A92017,NA,"subtidal, 13.2m",y,NA,NA,NA,NA,NA
"1,043",Crusticorallina adhaerens,confirmed by RBCL,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 3-sample 2; on rock; voucher in bag,A92018,NA,"subtidal, 13.2m",y,NA,NA,NA,NA,NA
"1,044",Chiharaea americana,confirmed by RBCL,Chiharaea americana,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 3-sample 3; on rock,A92019,NA,"subtidal, 13.2m",NA,NA,NA,NA,NA,NA
"1,045",Chiharaea americana,"mess F and R psba, messy c01, rbcl moderate 98.69% chiharaea americana; final determination based on sections of 'clean' rbcL data",Chiharaea americana,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 3-sample 4; on rock,A92020,NA,"subtidal, 13.2m",y,NA,NA,NA,NA,NA
"1,046",Chiharaea americana,needs rev,Chiharaea americana,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 4-sample 1; on rock,A92021,NA,"Subtidal, 10.1m",NA,NA,NA,NA,NA,NA
"1,047",Lithophyllum sp.4,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 4-sample 2; on rock; no voucher,no voucher,NA,"Subtidal, 10.1m",NA,NA,NA,NA,NA,NA
"1,048",Corsp27Bccrust_Lithophyllum,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 4-sample 3; on rock; voucher,A92022,NA,"Subtidal, 10.1m",y,NA,NA,NA,NA,NA
"1,049",Pseudolithophyllum sp. 2whidbeyense,needs reverse!!,Coralline crust,NA,X (CJ),NA,NA,X (CJ),8v15,NA,X (CJ),NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 4-sample 4; on rock; dirty,A91402,NA,"Subtidal, 10.1m",NA,NA,NA,NA,NA,NA
"1,050",Crusticorallina adhaerens,confirmed by CO1,Coralline crust,NA,X (CJ),NA,NA,NA,NA,X (CJ),NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 5-sample 1; on rock,A91403,NA,"subtidal, 10.2m",NA,NA,NA,NA,NA,NA
"1,051",Corsp27Bccrust_Lithophyllum,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 5-sample 2; on rock; no voucher; very small sample,no voucher,NA,"subtidal, 10.2 m",NA,NA,NA,NA,NA,NA
"1,052",Corsp27Bccrust_Lithophyllum,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 5-sample 3; on rock; no voucher,no voucher,NA,"subtidal, 10.2m",NA,NA,NA,NA,NA,NA
"1,053",Chiharaea americana,confirmed by RBCL,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 5-sample 4; on rock,A92024,NA,subtidal 10.2m,NA,NA,NA,NA,NA,NA
"1,054",Chiharaea americana,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 6-sample 1; on rock,A92025,NA,"subtidal, 10.1 m",y,NA,NA,NA,NA,NA
"1,055",Crusticorallina adhaerens,"confirmed by co1, rbcl",Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 6-sample 2; on cup coral,A92026,NA,"subtidal, 10.1 m",NA,NA,NA,NA,NA,NA
"1,056",Crusticorallina muricata,confirmed by RBCL,Coralline crust,NA,X (CJ),NA,NA,X (CJ),8v15,X (CJ),NA,X (CJ),NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 6-sample 3; on rock,A91404,NA,"subtidal, 10.1 m",NA,NA,NA,NA,NA,NA
"1,057",Corsp27Bccrust_Lithophyllum,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Kelpie pt.",6-Jul-2014,quad 6-sample 4; on rock; voucher in bag,A92027,NA,"subtidal, 10.1 m",NA,NA,NA,NA,NA,NA
"1,058",Bossiella schmittii,needs rev,Bossiella schmittii,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 1-sample 1; on rock/bryozoan,A92028,NA,"subtidal, 13.3m",NA,NA,NA,NA,NA,NA
"1,059",Crusticorallina muricata,needs reverse,Coralline crust,NA,X (CJ),NA,NA,X (CJ),8v15,X (CJ),NA,X (CJ),X(CJ),Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 1-sample 2; on bryozoan,A91405,NA,"subtidal, 13.3m",NA,NA,NA,NA,NA,NA
"1,060",Crusticorallina muricata,"needs reverse, CO1 PCR failed",Coralline crust,NA,X (CJ),NA,NA,X (CJ),8v15,X (CJ),NA,X (CJ),NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 1-sample 3; on bryozoan,A91406,NA,"subtidal, 13.3m",NA,NA,NA,NA,NA,NA
"1,061",Crusticorallina painei,"c01 messy and rbcl messy
, good psbA",Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 1-sample 4; on shell material,A92029,NA,"subtidal, 13.3m",y,NA,NA,NA,NA,NA
"1,062",Mesophyllum vancouveriense,NA,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 1-sample 5;very dirty; on bryozoan colony,A92030,NA,"subtidal, 13.3m",NA,NA,NA,NA,NA,NA
"1,063",Mesophyllum vancouveriense,NA,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,"on bryozoan (not in quad); shelf-like; voucher in bag
",A92031,NA,subtidal 13.8 m,y,NA,NA,NA,NA,NA
"1,064",Mesophyllum vancouveriense,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,"on bryozoan (not in quad); shelf-like; voucher in bag
",A92032,NA,subtidal 13.8 m,NA,NA,NA,NA,NA,NA
"1,065",Mesophyllum vancouveriense,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 2-sample 1a; on bryozoan; voucher in bag,A92033,NA,"subtidal, 13.2m",NA,NA,NA,NA,NA,NA
"1,066",Mesophyllum vancouveriense,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 2-sample 1b; on bryozoan; voucher in bag,A92034,NA,"subtidal, 13.2m",NA,NA,NA,NA,NA,NA
"1,067",Mesophyllum vancouveriense,NA,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 2-sample 2; on bryozoan,A92035,NA,"subtidal, 13.2m",NA,NA,NA,NA,NA,NA
"1,068",Mesophyllum vancouveriense,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 2-sample 3; on kelp stipe,A92036,NA,"subtidal, 13.2m",NA,NA,NA,NA,NA,NA
"1,069",Crusticorallina adhaerens,confirmed by co1,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 3-sample 1; on rock,A92037,NA,"subtidal, 13.7 m",NA,NA,NA,NA,NA,NA
"1,070",Crusticorallina painei,needs reverse,Coralline crust,NA,X (CJ),NA,NA,X (CJ),8v15,X (CJ),NA,X (CJ),NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 3-sample 2; on rock,A91407,NA,"subtidal, 13.7 m",NA,NA,NA,NA,NA,NA
"1,071",Bossiella reptans,needs reverse,Bossiella sp.,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 3-sample 3a; on rock,A92038,NA,"subtidal, 13.7 m",NA,NA,NA,NA,NA,NA
"1,072",Chiharaea americana,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 3-sample 3b; on bryozoan; need DNA; voucher in bag,A92039,NA,"subtidal, 13.7 m",y,NA,NA,NA,NA,NA
"1,073",Chiharaea americana,NA,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 3-sample 5; on rock; no voucher,no voucher,NA,"subtidal, 13.7 m",NA,NA,NA,NA,NA,NA
"1,074",Bossiella reptans,needs reverse,Bossiella sp.,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 4-sample 1; on rock,A92040,NA,subtidal 13.0m,NA,NA,NA,NA,NA,NA
"1,075",Crusticorallina adhaerens,confirmed by co1,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 4-sample 2; dirty; on rock,A92041,NA,subtidal 13.0m,NA,NA,NA,NA,NA,NA
"1,076",Chiharaea americana,NA,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 4-sample 3; on rock,A92042,NA,subtidal 13.0m,NA,NA,NA,NA,NA,NA
"1,077",Lithothamnion glaciale,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 4-sample 4; on rock,A92043,NA,"subtidal, 13.0m",NA,NA,NA,NA,NA,NA
"1,078",Chiharaea americana,NA,Chiharaea americana,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 5-sample 1; voucher on rock,A92044,NA,"subtidal, 12.8m",NA,NA,NA,NA,NA,NA
"1,079",Corillinac sp.4 BCcrust_Lithophyllum,"rbcL fail, CO1 fail, psbA moderate",Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 5-sample 2,A92045,NA,"subtidal, 12.8m",NA,NA,NA,NA,NA,NA
"1,080",Crusticorallina adhaerens,confirmed by CO1,Coralline crust,NA,X (CJ),NA,NA,NA,NA,X (CJ),NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 5-sample 3,A91408,NA,"subtidal, 12.8m",NA,NA,NA,NA,NA,NA
"1,081",Crusticorallina adhaerens,confirmed by CO1,Coralline crust,NA,X (CJ),NA,NA,NA,NA,X (CJ),NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 5-sample 4; needs DNA; voucher in bag,A91409,NA,"subtidal, 12.8m, on limpet",NA,NA,NA,NA,NA,NA
"1,082",Lithothamnion glaciale,"all genes failed, even on re-extracted DNA; Katy determined based on 200bp clean psbA sequence",Lithothamnion phymatodeum,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,"quad 5-sample 5
",A92046,NA,"subtidal, 12.8m",NA,NA,NA,NA,NA,NA
"1,083",Lithothamnion glaciale,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 6-sample 1,A92047,NA,subtidal 12.9m,NA,NA,NA,NA,NA,NA
"1,084",Chiharaea americana,NA,Chiharaea americana,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 6-sample 2,A92048,NA,subtidal 12.9m,NA,NA,NA,NA,NA,NA
"1,085",Melobesia sp.1,"good psbA seq - 93% phymatolithon sp on blast (falls in Corallinales, but no species match, messy c01, messy rbcl, (CO1 appears to be a chimeric sequence.  Last 200 bp are exact match to Lithothamnion, first 400 bp appear to be animal(?)",Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,"quad 6-sample 3; on Bossiella schmittii
",A92049,NA,subtidal 12.9m,NA,NA,NA,NA,NA,NA
"1,086",Lithophyllum sp.4,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,quad 6-sample 4; very tiny!; DNA only; no voucher,no voucher,NA,subtidal 12.9m,NA,NA,NA,NA,NA,NA
"1,087",Mesophyllum vancouveriense,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,large abundant crusts growing on bryozoan; voucher in bag,A92050,NA,subtidal 10m,NA,NA,NA,NA,NA,NA
"1,088",Chondracanthus corymbiferus,sequence 100% match in BOLD,Unknown red blade,NA,x (JN),6/22/2015,NA,NA,"6/24/2015, +ve",x (JN),NA,NA,NA,Red,"Hakai, Gosling Is.",7-Jul-2014,"same as last year? thick blade, ground material reached half 0.1 mark, no genetic sample left in vial",A92051,NA,subtidal,NA,NA,NA,NA,NA,NA
"1,089",Mesophyllum vancouveriense,needs reverse,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,same as 1087? on bryozoan,A92052,NA,subtidal 10m,NA,NA,NA,NA,NA,NA
"1,090",Mesophyllum vancouveriense,NA,Coralline crust,NA,X (CJ),NA,NA,NA,NA,NA,NA,NA,NA,Coralline,"Hakai, Gosling Is.",7-Jul-2014,same as above? on bryozoan and B. schmitti; voucher in bag,A92053,NA,subtidal 6m,NA,NA,NA,NA,NA,NA
